189: Date: 27th Mar, Values={'ma10': 977.8, 'ma20': 669.75, 'ma50': 499.46, 'ma200': 768.07}
190: Date: 26th Mar, Values={'ma10': 917.0, 'ma20': 632.95, 'ma50': 484.56, 'ma200': 769.085}
191: Date: 25th Mar, Values={'ma10': 862.7, 'ma20': 597.65, 'ma50': 469.54, 'ma200': 771.475}
192: Date: 24th Mar, Values={'ma10': 789.8, 'ma20': 553.85, 'ma50': 449.02, 'ma200': 773.84}
193: Date: 21st Mar, Values={'ma10': 713.6, 'ma20': 495.45, 'ma50': 424.8, 'ma200': 774.645}
194: Date: 20th Mar, Values={'ma10': 631.2, 'ma20': 437.15, 'ma50': 405.68, 'ma200': 775.795}
195: Date: 19th Mar, Values={'ma10': 552.9, 'ma20': 386.45, 'ma50': 393.62, 'ma200': 777.52}
196: Date: 18th Mar, Values={'ma10': 465.3, 'ma20': 341.05, 'ma50': 385.36, 'ma200': 779.495}
197: Date: 17th Mar, Values={'ma10': 406.1, 'ma20': 312.4, 'ma50': 379.72, 'ma200': 782.795}
198: Date: 13th Mar, Values={'ma10': 377.0, 'ma20': 303.85, 'ma50': 391.32, 'ma200': 787.39}
199: Date: 12th Mar, Values={'ma10': 361.7, 'ma20': 297.35, 'ma50': 404.34, 'ma200': 792.755}
200: Date: 11th Mar, Values={'ma10': 348.9, 'ma20': 287.7, 'ma50': 412.08, 'ma200': 798.085}
201: Date: 10th Mar, Values={'ma10': 332.6, 'ma20': 288.45, 'ma50': 415.24, 'ma200': 803.61}
202: Date: 7th Mar, Values={'ma10': 317.9, 'ma20': 302.65, 'ma50': 415.76, 'ma200': 809.145}
203: Date: 6th Mar, Values={'ma10': 277.3, 'ma20': 307.8, 'ma50': 421.3, 'ma200': 813.52}
204: Date: 5th Mar, Values={'ma10': 243.1, 'ma20': 321.1, 'ma50': 424.76, 'ma200': 818.83}
205: Date: 4th Mar, Values={'ma10': 220.0, 'ma20': 334.65, 'ma50': 431.82, 'ma200': 825.205}
206: Date: 3rd Mar, Values={'ma10': 216.8, 'ma20': 348.3, 'ma50': 446.16, 'ma200': 832.39}
207: Date: 28th Feb, Values={'ma10': 218.7, 'ma20': 373.65, 'ma50': 464.8, 'ma200': 840.22}
208: Date: 27th Feb, Values={'ma10': 230.7, 'ma20': 396.25, 'ma50': 484.76, 'ma200': 847.95}
209: Date: 25th Feb, Values={'ma10': 233.0, 'ma20': 402.15, 'ma50': 500.46, 'ma200': 855.85}
210: Date: 24th Feb, Values={'ma10': 226.5, 'ma20': 403.75, 'ma50': 509.1, 'ma200': 863.44}
211: Date: 21st Feb, Values={'ma10': 244.3, 'ma20': 398.2, 'ma50': 513.68, 'ma200': 870.835}
212: Date: 20th Feb, Values={'ma10': 287.4, 'ma20': 390.75, 'ma50': 517.34, 'ma200': 877.865}
213: Date: 19th Feb, Values={'ma10': 338.3, 'ma20': 388.75, 'ma50': 523.04, 'ma200': 884.24}
214: Date: 18th Feb, Values={'ma10': 399.1, 'ma20': 397.3, 'ma50': 532.82, 'ma200': 890.34}
215: Date: 17th Feb, Values={'ma10': 449.3, 'ma20': 406.55, 'ma50': 543.58, 'ma200': 892.295}
216: Date: 14th Feb, Values={'ma10': 479.8, 'ma20': 420.15, 'ma50': 550.44, 'ma200': 894.685}
217: Date: 13th Feb, Values={'ma10': 528.6, 'ma20': 443.65, 'ma50': 555.16, 'ma200': 897.87}
218: Date: 12th Feb, Values={'ma10': 561.8, 'ma20': 454.2, 'ma50': 558.82, 'ma200': 900.045}
219: Date: 11th Feb, Values={'ma10': 571.3, 'ma20': 462.4, 'ma50': 560.6, 'ma200': 904.255}
220: Date: 10th Feb, Values={'ma10': 581.0, 'ma20': 465.2, 'ma50': 567.5, 'ma200': 907.38}
221: Date: 7th Feb, Values={'ma10': 552.1, 'ma20': 454.05, 'ma50': 569.54, 'ma200': 909.625}
222: Date: 6th Feb, Values={'ma10': 494.1, 'ma20': 425.0, 'ma50': 565.36, 'ma200': 912.14}
223: Date: 5th Feb, Values={'ma10': 439.2, 'ma20': 397.4, 'ma50': 561.48, 'ma200': 914.42}
224: Date: 4th Feb, Values={'ma10': 395.5, 'ma20': 377.5, 'ma50': 559.0, 'ma200': 916.71}
225: Date: 3rd Feb, Values={'ma10': 363.8, 'ma20': 372.95, 'ma50': 561.1, 'ma200': 922.315}
226: Date: 1st Feb, Values={'ma10': 360.5, 'ma20': 382.45, 'ma50': 566.66, 'ma200': 928.95}
227: Date: 31st Jan, Values={'ma10': 358.7, 'ma20': 372.6, 'ma50': 568.8, 'ma200': 934.725}
228: Date: 30th Jan, Values={'ma10': 346.6, 'ma20': 393.55, 'ma50': 568.46, 'ma200': 940.765}
229: Date: 29th Jan, Values={'ma10': 353.5, 'ma20': 427.85, 'ma50': 572.24, 'ma200': 947.41}
230: Date: 28th Jan, Values={'ma10': 349.4, 'ma20': 452.0, 'ma50': 578.62, 'ma200': 954.19}
231: Date: 27th Jan, Values={'ma10': 356.0, 'ma20': 473.6, 'ma50': 590.98, 'ma200': 961.055}
232: Date: 24th Jan, Values={'ma10': 355.9, 'ma20': 489.7, 'ma50': 603.46, 'ma200': 964.865}
